Size,NaiveMedian,RandomizedMedian,DeterministicMedian
200000,5,1,2
400000,4,0,1
600000,7,1,5
800000,9,1,6
1000000,12,2,9
1200000,14,3,5
1400000,18,3,7
1600000,19,3,9
1800000,22,3,10
2000000,24,4,9
2200000,27,4,13
2400000,30,5,14
2600000,33,7,18
2800000,36,6,19
3000000,37,7,22
3200000,40,7,24
3400000,44,10,29
3600000,47,7,27
3800000,55,12,32
4000000,55,9,35
4200000,58,13,36
4400000,61,10,39
4600000,68,15,45
4800000,65,11,43
5000000,67,11,43
5200000,68,11,44
5400000,71,10,47
5600000,74,12,50
5800000,80,15,56
6000000,80,12,30
6200000,83,14,32
6400000,85,15,35
6600000,87,14,36
6800000,89,14,38
7000000,92,15,40
7200000,96,15,41
7400000,98,17,43
7600000,104,20,46
7800000,108,17,47
8000000,109,19,55
8200000,109,16,57
8400000,113,17,59
8600000,115,18,61
8800000,118,18,61
9000000,120,21,63
9200000,125,21,66
9400000,128,21,66
9600000,130,21,68
9800000,134,23,45
10000000,135,23,47
