Size,NaiveMedian,RandomizedMedian,DeterministicMedian
200000,5,1,2
400000,4,0,1
600000,6,1,3
800000,9,1,5
1000000,12,1,8
1200000,15,2,5
1400000,16,3,7
1600000,20,3,10
1800000,21,2,10
2000000,24,2,8
2200000,26,4,12
2400000,28,5,14
2600000,31,5,15
2800000,34,5,17
3000000,38,5,21
3200000,38,6,24
3400000,43,6,24
3600000,45,6,25
3800000,45,8,26
4000000,47,8,28
4200000,52,9,29
4400000,54,8,34
4600000,56,8,36
4800000,60,10,38
5000000,62,11,41
5200000,66,11,44
5400000,67,9,46
5600000,69,12,47
5800000,75,12,49
6000000,75,11,30
6200000,78,12,31
6400000,81,14,33
6600000,82,13,35
6800000,86,13,36
7000000,91,14,40
7200000,92,15,40
7400000,96,14,40
7600000,101,16,49
7800000,102,16,45
8000000,103,14,51
8200000,106,13,54
8400000,109,17,57
8600000,110,17,61
8800000,120,19,62
9000000,119,19,62
9200000,120,19,63
9400000,123,20,65
9600000,132,20,67
9800000,130,21,46
10000000,131,20,47
